gene	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	degree	closeness	betweenness	eigenvector	kcore	clusteringcoeff	leverage	bridging	average_neighbors	class
WASF1	0.0	0.0	0.0	0.0	47.0	4.0	0.0	1.0	0.0	0.03642189236905774	0.4796299200250902	5.8348344996907166e-05	0.004495664405739774	341	0.28660733890445994	-0.0141	7.287687587785675e-08	804.5206463195691	
ENO4	4.0	2.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.02707120904989211	0.4863102998696219	1.3844124140724415e-05	0.005403044346717043	317	0.4469944204653121	-0.3181	4.627044526085834e-08	1199.9830917874397	
TUBB6	0.0	1.0	0.0	0.0	46.0	1.0	0.0	0.0	0.0	0.019420649970574768	0.4697155844953621	2.7715066945418537e-05	0.0013923485782637616	204	0.43215943215943214	-0.1681	8.862964204476726e-08	643.8518518518517	
ZNF213	0.0	0.0	0.0	0.0	35.0	3.0	0.0	0.0	0.0	0.0015693454521676586	0.3921684275310288	2.318910460410648e-06	0.00011317576536786289	21	0.75	-0.4924	2.1839764379938888e-07	522.5	
SPDL1	3.0	0.0	1.0	0.0	48.0	4.0	0.0	1.0	1.0	0.02628653632380828	0.4646068781139871	4.982022415859617e-06	0.0020163520377595515	289	0.5417674718675947	-0.1414	1.4479230593732827e-08	685.1666666666666	
COA1	0.0	0.0	0.0	0.0	8.0	0.0	0.0	1.0	0.0	0.0039887530242594645	0.3592098463851177	1.7727249876063973e-06	0.0004970033007169287	58	0.7907103825136612	-0.6292	7.834070361338715e-08	448.9508196721312	
BRAP	0.0	1.0	0.0	0.0	40.0	2.0	0.0	1.0	0.0	0.05309618779833911	0.4954642648869306	0.00019998082930698478	0.009269849075204908	396	0.3813087291126324	-0.0505	1.6578503563226017e-07	1165.9310344827584	
HMG20B	0.0	0.0	2.0	0.0	13.0	0.0	0.0	1.0	0.0	0.028836722683580725	0.4803379609271939	3.600055888119862e-05	0.004657286733282804	315	0.3922077922077922	-0.1961	8.514419619936958e-08	1055.095238095238	
OVGP1	0.0	1.0	1.0	0.0	72.0	2.0	0.0	1.0	0.0	0.0026809651474530827	0.4047480414990472	0.00016131357724710865	0.00024224589176002973	29	0.2475609756097561	-0.3575	2.371467796749788e-06	500.7560975609757	
OR51V1	0.0	0.0	0.0	0.0	86.0	4.0	0.0	0.0	0.0	0.06695873929248676	0.4914203084832905	1.0089389472041699e-05	0.021719932931202952	599	0.766745708088954	-0.0283	9.856620068685016e-09	1208.2490234375	
IVL	3.0	0.0	1.0	0.0	93.0	4.0	0.0	1.0	0.0	0.008827568168443078	0.4368929265226831	4.6146379978244766e-05	0.0014941024246664116	114	0.4700939745715865	-0.4848	4.5724915608218353e-07	939.0370370370372	
MTERF4	3.0	0.0	0.0	0.0	32.0	4.0	0.0	0.0	0.0	0.023082456025632643	0.4797803921568627	1.5172370954146295e-05	0.003891361925046601	288	0.32004893123873296	-0.3479	6.560144440308257e-08	1137.2691218130312	
TIMMDC1	0.0	2.0	0.0	0.0	30.0	7.0	0.0	2.0	0.0	0.004969593931864252	0.3852432173715898	4.5526985606200104e-07	0.0006415568735397572	70	0.9550877192982457	-0.5319	1.5245051831039283e-08	512.8552631578947	
LIMS2	1.0	0.0	0.0	0.0	37.0	3.0	0.0	0.0	0.0	0.02543647420388413	0.4707131644556619	1.1996093033549126e-05	0.0024896432075197216	263	0.4669652558768187	-0.079	2.934552553977815e-08	670.4884318766068	
PDHX	0.0	0.0	0.0	0.0	33.0	2.0	0.0	0.0	0.0	0.01092002877133329	0.4578879607173867	4.123901321186535e-05	0.0012947841528107946	125	0.32090036793882115	-0.3022	2.467324841768098e-07	719.1077844311377	
TP53BP2	9.0	2.0	1.0	0.0	89.0	10.0	0.0	7.0	0.0	0.04433400902373635	0.4960910889804392	0.0001222602062954434	0.00726899000778017	363	0.2320100390844564	0.0034	1.0502921471043056e-07	1046.73598820059	
PGAM4	1.0	0.0	0.0	0.0	29.0	4.0	0.0	0.0	0.0	0.007715948473157655	0.4566301394404466	1.7008578017859219e-06	0.0012497754592905295	111	0.4863102998696219	-0.6043	4.5490079074995385e-08	1048.177966101695	
ENPP2	2.0	0.0	0.0	0.0	101.0	8.0	0.0	3.0	0.0	0.07303995291963644	0.5060555923229649	0.0001374765062805028	0.013581874772888913	396	0.2495964934235648	0.1354	6.858607815562071e-08	1074.4762757385854	
ALDH7A1	0.0	0.0	0.0	0.0	34.0	2.0	0.0	4.0	0.0	0.0009154515137644676	0.4038288883020861	1.5785465518539374e-08	0.00012338854156885152	14	0.5714285714285714	-0.9508	4.4352798941891137e-08	975.5714285714287	
HP	2.0	1.0	0.0	0.0	26.0	1.0	0.0	0.0	0.0	0.009285293925325313	0.4562350835322196	2.151793387306387e-05	0.0016649029324264648	122	0.4822695035460993	-0.5402	2.374454175674932e-07	1122.1267605633802	
ARHGAP20	3.0	1.0	0.0	0.0	115.0	6.0	0.0	0.0	0.0	0.02249395148106977	0.4589460416541624	2.119808527549007e-06	0.0034826203003376893	298	0.7182520848871109	-0.3049	1.0091881748122483e-08	936.2325581395347	
TNIP3	1.0	1.0	0.0	1.0	56.0	7.0	0.0	4.0	0.0	0.02170927875498594	0.4799309587321513	2.2798120053457296e-06	0.006015615701688708	316	0.553197684999818	-0.539	2.0079106401974624e-08	1597.6927710843374	
CD1B	0.0	0.0	0.0	0.0	83.0	9.0	0.0	1.0	0.0	0.011900869678938077	0.4470330312774043	7.657002913768866e-06	0.0015849650434342634	156	0.4360998117904195	-0.4416	7.756128271636126e-08	793.2747252747251	
