gene	kcore
MAD1L1	337
MAD2L1	369
MIS12	289
NDC80	289
NDEL1	305
NSL1	289
NUDC	289
NUF2	289
PMF1	365
PPP1CC	395
RCC2	298
SGO1	289
SGO2	289
SKA1	289
SKA2	289
SPC24	289
SPC25	289
SPDL1	289
TAOK1	289
ZWILCH	289
ZWINT	289
HAP1	298
LATS1	344
KDR	387
AKAP13	328
ARHGDIA	487
MAP3K11	372
MAP3K5	535
PDK1	386
RPS6KB1	539
SOS2	472
TNK2	330
EXOC7	169
LCP2	386
GDI2	262
APC	396
ARHGAP17	315
PLG	204
CD44	365
ROCK2	339
TIAM1	365
OBSCN	298
CAV3	332
GZMA	127
EFNB1	354
EFNB2	346
EFNB3	322
RALBP1	334
CD28	381
MAPK10	599
MAPK9	599
ARHGEF4	298
MEN1	331
SCRIB	226
SPATA13	317
NME1	372
ARHGEF5	346
BCAR3	285
CLDN3	294
PARD6B	346
GRAP2	354
VAV2	387
VAV3	383
MAP2K3	357
ARAP1	314
ARAP2	298
ARAP3	298
RAB1A	191
KALRN	307
GIT1	319
MYO9A	298
MYO9B	298
ARHGAP1	298
ARHGAP26	300
ARHGAP11A	298
ARHGAP11B	298
ARHGAP12	298
ARHGAP15	317
ARHGAP18	298
ARHGAP19	298
ARHGAP20	298
ARHGAP21	303
ARHGAP22	298
ARHGAP23	298
ARHGAP24	314
ARHGAP30	298
ARHGAP28	298
ARHGAP29	298
ARHGAP31	298
ARHGAP32	298
ARHGAP33	298
ARHGAP36	298
ARHGAP39	298
ARHGAP40	298
ARHGAP44	298
ARHGAP45	298
GMIP	298
ARHGEF1	357
ARHGAP6	298
ARHGAP8	298
ARHGAP9	330
MCF2	298
ARHGDIG	501
CTNNAL1	160
KIAA0142	317
ARHGEF16	298
ARHGEF17	298
ARHGEF18	339
CGN	396
PARD6A	368
ARHGEF19	298
ARHGEF2	330
NOD1	294
TUBA1B	252
TUBA1C	228
TUBA3D	245
TUBA3E	245
TUBA8	231
TUBAL3	184
ARHGEF25	387
ARHGEF26	298
ARHGEF3	298
GIT2	354
SRGAP1	298
ARHGEF9	298
CDC42BPA	328
PARD6G	298
MAP3K1	396
CD80	396
CD86	395
LAT	396
KTN1	272
GRIN2C	539
GRIN2D	539
NGEF	342
BPGAP1	298
FGD1	298
YWHAE/FAM22A	276
YWHAE/FAM22B	276
GRIK2	298
IQGAP2	335
FGD4	298
PLEKHG5	298
PRSS3	149
TP53BP2	363
CLDN6	82
CLDN9	69
CDC42EP4	320
CDC42EP5	335
DEPDC7	298
DLC1	311
DNMBP	290
DOCK10	298
DOCK11	354
DOCK6	354
DOCK7	365
DOCK9	396
ECT2	298
F2RL2	365
FAM13A	298
FAM13B	298
FARP2	359
FGD2	298
FGD3	298
GRIK1	298
GRIK3	354
GRIK4	287
GRIK5	288
GRIN3A	539
INPP5B	321
ITSN2	230
LIMK2	167
MAP3K9	357
MCF2L	298
NET1	298
OPHN1	298
PLEKHG2	298
PREX1	599
S1PR4	438
SRGAP3	298
STARD13	295
STARD8	298
TAGAP	298
TIAM2	298
